StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,DOB_1,DOB_2,DOB_3,Gender,Q50,Q52,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Q56,Q52,Q35,Q53,Q36,Q37,Q38,Q39,Q54,Q55,Q41,IC,Q40
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your child's participant ID. The research assistant can provide you with this.,Child's date of birth - Month,Child's date of birth - Day,Child's date of birth - Year,Child's gender,Please describe your child's gender,Please indicate your child's ethnicity,Please indicate your child's race - American Indian or Alaska Native,Please indicate your child's race - Asian,Please indicate your child's race - Black,Please indicate your child's race - Native Hawaiian or other Pacific Islander,Please indicate your child's race - White,Please indicate your child's race - Other,Please describe your child's race:,Please select the option that best describes your own religious affiliation,Please indicate religious affiliation:,"If your child has another parent or guardian, please select the option that best describes their religious affiliation",Please indicate religious affiliation:,How often does your child attend services at places of religious worship?,How important is it for you to raise your child in a religious tradition?,Does your child attend a school with a religious affiliation?,Please indicate the highest level of education you have completed:,"If your child has another parent or guardian, please indicate the highest level of education that they have completed.",How strongly do you promote the Santa Claus myth in your household?,"Do you have a smart speaker at home (i.e., a stand-alone device with an integrated voice assistant (VA)), such as Amazon Echo or Google Home?",How often do you and your children use voice assistants?
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID52"",""choiceId"":""1""}","{""ImportId"":""QID52"",""choiceId"":""2""}","{""ImportId"":""QID52"",""choiceId"":""3""}","{""ImportId"":""QID52"",""choiceId"":""4""}","{""ImportId"":""QID52"",""choiceId"":""5""}","{""ImportId"":""QID52"",""choiceId"":""6""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID65""}","{""ImportId"":""QID3""}","{""ImportId"":""QID64""}"
2023-01-30 11:29:26,2023-01-30 11:30:17,IP Address,70.113.66.49,81,50,False,2023-02-06 11:30:19,R_esNOF5f4Cyf2hgZ,,,,,,,qr,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-07 11:01:33,2023-04-07 11:03:58,IP Address,198.214.80.254,100,144,True,2023-04-07 11:03:59,R_115vpatZHBnYxN8,,,,,30.2887,-97.7398,qr,EN,1,February,5,2015,Male,,Hispanic or Latino/a,,,,,White,,,Other Christian,,Other Christian,,A few times a month,Very important,No,Associate's degree,Bachelor's degree,Not at all,No,Never
2023-04-07 14:05:56,2023-04-07 14:34:56,IP Address,128.62.41.58,100,1740,True,2023-04-07 14:34:57,R_1LOKHJCGfJvyAUM,,,,,30.2887,-97.7398,qr,EN,2,December,5,2012,Male,,Not Hispanic or Latino/a,,,,,White,,,Agnostic,,Agnostic,,Never,Minimally important,No,Bachelor's degree,Associate's degree,Not at all,No,Rarely
2023-04-10 11:18:55,2023-04-10 11:20:53,IP Address,166.198.250.127,100,118,True,2023-04-10 11:20:54,R_3hlltvHBfa234hX,,,,,30.2661,-97.7136,qr,EN,3,May,1,2017,Female,,Not Hispanic or Latino/a,,Asian,,,,,,None,,None,,A few times a week,Minimally important,Yes,Graduate or professional degree,Graduate or Professional degree,A lot,Yes,Sometimes
2023-04-14 10:59:18,2023-04-14 11:01:52,IP Address,198.214.80.17,100,154,True,2023-04-14 11:01:53,R_p6nqrhDvfDVKOxX,,,,,30.2887,-97.7398,qr,EN,4,June,15,2018,Male,,Not Hispanic or Latino/a,,,,,White,,,Atheist,,Agnostic,,Never,Not at all important,No,Bachelor's degree,Bachelor's degree,A little bit,Yes,Often
2023-04-10 11:18:30,2023-04-10 11:18:44,IP Address,128.62.44.4,48,13,False,2023-04-17 11:18:49,R_Dcxro9A6AmCIdFv,,,,,,,qr,EN,test,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17 14:14:49,2023-04-17 14:15:16,IP Address,198.214.80.225,100,26,True,2023-04-17 14:15:17,R_2rZncTZOBfPWASd,,,,,30.2887,-97.7398,qr,EN,Test,,,,,,,,,,,,,,,,,,,,,,,,No,
2023-04-20 16:01:53,2023-04-20 16:05:04,IP Address,128.62.40.20,100,191,True,2023-04-20 16:05:04,R_3qrNYnDQTSPMK3l,,,,,30.2887,-97.7398,qr,EN,5,December,13,2016,Female,,Hispanic or Latino/a,,,,,White,,,Atheist,,Atheist,,Less than once a year,Not at all important,No,Bachelor's degree,Bachelor's degree,A lot,No,Sometimes
2023-04-21 15:54:33,2023-04-21 15:56:38,IP Address,128.62.191.56,100,124,True,2023-04-21 15:56:38,R_4HJg0x9dDqQIf5L,,,,,30.2887,-97.7398,qr,EN,6,July,7,2007,Female,,Not Hispanic or Latino/a,,,,,,Other,Asian and White,Buddhist,,Agnostic,,Never,Minimally important,No,Graduate or professional degree,Some college,A little bit,Yes,Often
