question,cat,pid,variable,value
ownlife,prayers,151,ownlife_prayers,1
ownlife,prayers,224,ownlife_prayers,1
ownlife,prayers,226,ownlife_prayers,1
ownlife,prayers,249,ownlife_prayers,1
ownlife,miracles,212,ownlife_miracles,1
ownlife,healing,123,ownlife_healing,1
ownlife,healing,134,ownlife_healing,1
ownlife,healing,173,ownlife_healing,1
ownlife,healing,199,ownlife_healing,1
ownlife,healing,238,ownlife_healing,1
ownlife,helping,121,ownlife_helping,1
ownlife,helping,126,ownlife_helping,1
ownlife,helping,128,ownlife_helping,1
ownlife,helping,132,ownlife_helping,1
ownlife,helping,138,ownlife_helping,1
ownlife,helping,141,ownlife_helping,1
ownlife,helping,143a,ownlife_helping,1
ownlife,helping,144,ownlife_helping,1
ownlife,helping,148,ownlife_helping,1
ownlife,helping,149,ownlife_helping,1
ownlife,helping,170,ownlife_helping,1
ownlife,helping,171,ownlife_helping,1
ownlife,helping,172,ownlife_helping,1
ownlife,helping,173,ownlife_helping,1
ownlife,helping,174,ownlife_helping,1
ownlife,helping,151,ownlife_helping,1
ownlife,helping,175,ownlife_helping,1
ownlife,helping,177,ownlife_helping,1
ownlife,helping,176,ownlife_helping,1
ownlife,helping,189,ownlife_helping,1
ownlife,helping,181,ownlife_helping,1
ownlife,helping,186,ownlife_helping,1
ownlife,helping,200,ownlife_helping,1
ownlife,helping,202,ownlife_helping,1
ownlife,helping,205,ownlife_helping,1
ownlife,helping,216,ownlife_helping,1
ownlife,helping,218,ownlife_helping,1
ownlife,helping,223,ownlife_helping,1
ownlife,helping,224,ownlife_helping,1
ownlife,helping,225,ownlife_helping,1
ownlife,helping,227,ownlife_helping,1
ownlife,helping,232,ownlife_helping,1
ownlife,helping,233,ownlife_helping,1
ownlife,helping,235,ownlife_helping,1
ownlife,helping,236,ownlife_helping,1
ownlife,helping,179,ownlife_helping,1
ownlife,helping,242,ownlife_helping,1
ownlife,helping,245,ownlife_helping,1
ownlife,helping,246,ownlife_helping,1
ownlife,control,126,ownlife_control,1
ownlife,control,149,ownlife_control,1
ownlife,control,159,ownlife_control,1
ownlife,control,170,ownlife_control,1
ownlife,control,171,ownlife_control,1
ownlife,control,172,ownlife_control,1
ownlife,control,177,ownlife_control,1
ownlife,control,189,ownlife_control,1
ownlife,control,187,ownlife_control,1
ownlife,control,202,ownlife_control,1
ownlife,control,218,ownlife_control,1
ownlife,control,229,ownlife_control,1
ownlife,nature,121,ownlife_ture,1
ownlife,nature,138,ownlife_ture,1
ownlife,nature,187,ownlife_ture,1
ownlife,nature,201,ownlife_ture,1
ownlife,nature,205,ownlife_ture,1
ownlife,nature,211,ownlife_ture,1
ownlife,nature,212,ownlife_ture,1
ownlife,nature,222,ownlife_ture,1
ownlife,nature,229,ownlife_ture,1
peopleslives,prayers,242,godlives_prayers,1
peopleslives,miracles,174,godlives_miracles,1
peopleslives,miracles,194,godlives_miracles,1
peopleslives,miracles,233,godlives_miracles,1
peopleslives,miracles,235,godlives_miracles,1
peopleslives,healing,123,godlives_healing,1
peopleslives,healing,199,godlives_healing,1
peopleslives,healing,241,godlives_healing,1
peopleslives,helping,134,godlives_helping,1
peopleslives,helping,135,godlives_helping,1
peopleslives,helping,138,godlives_helping,1
peopleslives,helping,141,godlives_helping,1
peopleslives,helping,146,godlives_helping,1
peopleslives,helping,148,godlives_helping,1
peopleslives,helping,169,godlives_helping,1
peopleslives,helping,170,godlives_helping,1
peopleslives,helping,171,godlives_helping,1
peopleslives,helping,172,godlives_helping,1
peopleslives,helping,173,godlives_helping,1
peopleslives,helping,151,godlives_helping,1
peopleslives,helping,177,godlives_helping,1
peopleslives,helping,176,godlives_helping,1
peopleslives,helping,189,godlives_helping,1
peopleslives,helping,181,godlives_helping,1
peopleslives,helping,193,godlives_helping,1
peopleslives,helping,199,godlives_helping,1
peopleslives,helping,202,godlives_helping,1
peopleslives,helping,205,godlives_helping,1
peopleslives,helping,212,godlives_helping,1
peopleslives,helping,224,godlives_helping,1
peopleslives,helping,226,godlives_helping,1
peopleslives,helping,227,godlives_helping,1
peopleslives,helping,232,godlives_helping,1
peopleslives,helping,250,godlives_helping,1
peopleslives,control,121,godlives_control,1
peopleslives,control,126,godlives_control,1
peopleslives,control,132,godlives_control,1
peopleslives,control,134,godlives_control,1
peopleslives,control,144,godlives_control,1
peopleslives,control,145,godlives_control,1
peopleslives,control,147,godlives_control,1
peopleslives,control,146,godlives_control,1
peopleslives,control,149,godlives_control,1
peopleslives,control,162,godlives_control,1
peopleslives,control,169,godlives_control,1
peopleslives,control,172,godlives_control,1
peopleslives,control,151,godlives_control,1
peopleslives,control,175,godlives_control,1
peopleslives,control,176,godlives_control,1
peopleslives,control,201,godlives_control,1
peopleslives,control,202,godlives_control,1
peopleslives,control,210,godlives_control,1
peopleslives,control,211,godlives_control,1
peopleslives,control,216,godlives_control,1
peopleslives,control,228,godlives_control,1
peopleslives,control,229,godlives_control,1
peopleslives,control,232,godlives_control,1
peopleslives,control,246,godlives_control,1
peopleslives,control,249,godlives_control,1
peopleslives,judgement,246,godlives_judgement,1
peopleslives,judgement,247,godlives_judgement,1
peopleslives,nature,121,godlives_ture,1
peopleslives,nature,128,godlives_ture,1
peopleslives,nature,186,godlives_ture,1
peopleslives,nature,199,godlives_ture,1
peopleslives,nature,205,godlives_ture,1
peopleslives,nature,210,godlives_ture,1
peopleslives,nature,179,godlives_ture,1
peopleslives,nature,238,godlives_ture,1
peopleslives,nature,248,godlives_ture,1
